Method runtime information:
Start timestamp: Tue Jun 20 12:38:33 CEST 2023
End timestamp: Tue Jun 20 12:38:34 CEST 2023
##
Info input dataset:
|input.T|, |input.T.points|
23, 417
##
RT setting infos:
thresholdCellSize, |rt|, CellSize, tauRelevantCell, minPointsRC, tauRepresentativenessValue, |cell|, RepresentativenessMeasure, |cover RT|
2, 40, 0.004440290897386148, 0.05, 20.85, 0.05, 54, 0.66105366, 255
##
RT description:
lat_lon, time, DAY, CATEGORY, PRICE, RATING, WEATHER, mapping
40.832512036593 -73.8651854595023, 00:00 - 00:00, {THURSDAY: 0.3333333333333333; FRIDAY: 0.3333333333333333; SATURDAY: 0.3333333333333333}, {TRAVEL & TRANSPORT: 1.0}, {*-999: 1.0}, -999.0, {CLEAR: 1.0}, {1872: 249; 1871: 404; 1871: 412}, 
40.8330450889308 -73.8608159153442, 00:00 - 00:00, {SUNDAY: 0.3333333333333333; FRIDAY: 0.3333333333333333; SATURDAY: 0.3333333333333333}, {TRAVEL & TRANSPORT: 1.0}, {*-999: 1.0}, -999.0, {SNOW: 0.3333333333333333; CLOUDS: 0.3333333333333333; CLEAR: 0.3333333333333333}, {1870: 236; 1871: 405; 1871: 416}, 
40.676927786133 -73.89869928359991, 00:00 - 00:00, {SUNDAY: 1.0}, {TRAVEL & TRANSPORT: 1.0}, {*-999: 1.0}, -999.0, {RAIN: 0.5; CLOUDS: 0.5}, {1837: 281; 1852: 319}, 
40.7085883614824 -73.9910316467285, 05:00 - 05:00, {SUNDAY: 0.5; FRIDAY: 0.5}, {TRAVEL & TRANSPORT: 1.0}, {*-999: 1.0}, -999.0, {CLOUDS: 0.5; CLEAR: 0.5}, {1858: 87; 1869: 216}, 
40.636259449179796 -73.9947902168192, 05:00 - 06:00, {SUNDAY: 0.3157894736842105; THURSDAY: 0.21052631578947367; MONDAY: 0.15789473684210525; TUESDAY: 0.15789473684210525; SATURDAY: 0.10526315789473684; FRIDAY: 0.05263157894736842}, {TRAVEL & TRANSPORT: 1.0}, {*-999: 1.0}, -999.0, {CLOUDS: 0.5263157894736842; CLEAR: 0.42105263157894735; FOG: 0.05263157894736842}, {1858: 78; 1858: 83; 1858: 86; 1860: 106; 1861: 110; 1861: 116; 1861: 125; 1865: 140; 1865: 146; 1866: 156; 1866: 168; 1868: 175; 1868: 188; 1868: 197; 1869: 203; 1869: 215; 1870: 230; 1862: 327; 1863: 366}, 
40.61336604201668 -74.0007197856903, 05:00 - 08:00, {MONDAY: 0.18181818181818182; THURSDAY: 0.18181818181818182; SUNDAY: 0.18181818181818182; TUESDAY: 0.18181818181818182; SATURDAY: 0.18181818181818182; FRIDAY: 0.09090909090909091}, {TRAVEL & TRANSPORT: 1.0}, {*-999: 1.0}, -999.0, {CLOUDS: 0.6818181818181818; CLEAR: 0.3181818181818182}, {1858: 79; 1860: 89; 1860: 94; 1860: 99; 1860: 107; 1861: 111; 1861: 117; 1861: 123; 1865: 141; 1866: 157; 1868: 174; 1868: 182; 1868: 189; 1868: 198; 1869: 202; 1869: 208; 1870: 227; 1870: 231; 1862: 328; 1863: 359; 1863: 367; 1867: 379; 1867: 386}, 
