tid,coordinates,time_start,duration,weekday,activity,transportation,distance,label
15224,43.707488 10.407329,2014-05-30 07:03:37,1109,Friday   ,"Studio formazione (scuola, università, corsi, seminari,...)",Piedi,1837.7087832266693,520
15226,43.720111 10.407822,2014-05-30 10:36:18,1020,Friday   ,Verso casa,Piedi,1842.83359747095,520
15230,43.707025 10.40777,2014-05-30 11:45:01,1091,Friday   ,"Studio formazione (scuola, università, corsi, seminari,...)",Piedi,1879.9418560137603,520
15232,43.719575 10.407632,2014-05-30 14:57:26,470,Friday   ,"Shopping (supermercato, fornaio, macellaio,...)",Bici,1560.829795580128,520
16318,43.714066 10.420925,2014-05-30 15:25:29,1009,Friday   ,Verso casa,Bici,4065.599880108888,520
16320,43.710664 10.404295,2014-06-02 08:09:14,640,Monday   ,"Attività Sociali (bar, amici, parenti, feste,...)",Piedi,2574.050782960842,520
16322,43.717928 10.402076,2014-06-02 08:24:04,750,Monday   ,"Svago (sport, escursioni, musei,...)",Piedi,1140.886045791519,520
16324,43.705816 10.401647,2014-06-02 08:46:37,152,Monday   ,"Svago (sport, escursioni, musei,...)",Piedi,423.973507323342,520
16326,43.707859 10.402563,2014-06-02 08:57:15,524,Monday   ,"Svago (sport, escursioni, musei,...)",Treno,13811.378848019252,520
16712,43.708358 10.401252,2014-06-02 18:03:41,645,Monday   ,Verso casa,Piedi,1213.324120264948,520
20340,43.70686296 10.40795363,2014-06-05 07:02:07,425,Thursday ,"Studio formazione (scuola, università, corsi, seminari,...)",Bici,1772.8873050740597,520
20342,43.72047491 10.40819987,2014-06-05 10:26:35,316,Thursday ,"Shopping (supermercato, fornaio, macellaio,...)",Bici,1001.0217228758175,520
20344,43.71421209 10.42090977,2014-06-05 10:50:06,702,Thursday ,Verso casa,Bici,1960.802601671928,520
20346,43.70721422 10.40807488,2014-06-05 12:54:01,1138,Thursday ,"Studio formazione (scuola, università, corsi, seminari,...)",Piedi,2004.6773271427269,520
20348,43.720315 10.40812586,2014-06-05 16:11:55,589,Thursday ,"Studio formazione (scuola, università, corsi, seminari,...)",Piedi,1000.2747302409514,520
